,WellNo,MAE,RCPE
0,SN0128-06,0.3865797587803432,0.21562210022215816
0,SN0128-01,0.2183944013050624,0.13892522203747
0,SN0128-05,0.3410703075408935,0.655972267544533
0,SN0128-08,0.07512218235560826,0.20024622222523636
0,SN0128-09,0.19683493001120425,0.01006950743296831
0,SN0101-01,0.4685808706011091,0.26486414665501046
0,SN0101-03,0.2898455505098615,0.011780590374879581
0,SN0128-02,0.2697950360570635,0.24160157414002903
0,SN0101-08,0.18246386367252887,0.07210243645733412
0,SN0101-06,0.034240788105555954,5.134500561646178e-05
0,SN0101-02,0.04243118643079491,0.0003952839937953697
0,SN0127-09,0.07735113999502999,0.030089405643367897
0,SN0101-07,0.04719870522362848,0.015850527643750834
0,SN0127-01,0.15828099746704094,0.023369132522474228
0,SN0127-07,0.11724318629673548,0.38641438550419294
0,SN0127-06,0.32700869740077426,0.07129592143667281
0,SN0127-03,0.35371553884233753,0.1940229500614806
0,SN0127-08,1.4652578698022027,0.6761197837184691
0,SN0127-05,0.2218211098807199,0.05624342455611341
0,SN0132-05,0.06389672884259902,0.042946624124625035
0,SN0063-01,0.09967449749537874,0.08952861022553864
0,SN0063-04ST,0.08589754379817414,0.04615172834229299
0,SN0132-02,0.783365274470193,0.49439904086859615
0,SN0132-04,0.8810900828225272,0.29746676593628635
0,SN0132-03,0.8592848658152988,0.5425458667480125
0,SN0132-01,0.6211805260794503,0.3136891316527172
0,SN0177-03,0.05038762667519706,0.06329193000234888
0,SN0177-06,0.13918615819386074,0.26437538342906364
0,SN0177-09,0.026042260742187486,0.016499668276957372
0,SN0162-04,0.19290153737749377,0.0010684634304467873
0,SN0162-06,0.09709336068289622,0.021127821065490427
0,SN0162-07,0.27035623809269493,0.1567087574231769
0,SN0162-08,0.2001567731584821,0.0311914163735233
0,SN0162-02,0.14641627618244715,0.12069498269228167
0,SN0162-03,0.11925913451058523,0.021768420836427074
0,SN0162-09,0.1527683974811009,0.05072934679086023
0,SN0177-02,0.06014444847106935,0.06718874223457394
0,SN0132-08,0.07806760518210278,0.03586768115202477
0,SN0075-09,0.1754413312639509,0.01982574001776974
0,SN0075-05,0.2655195175852094,0.6308119019750458
0,SN0172-04,0.04278919290815075,0.018194272971795326
0,SN0180-02,0.3704144884926932,0.07639351871981968
0,SN0180-09,0.8090286295209612,0.16338048084350726
0,SN0172-03,0.031028948865618133,0.00961656898674485
0,SN0016-02,0.07382528964451383,0.033065925611934596
0,SN0016-05,0.21321687774658202,0.030602179649641636
0,SN0075-08,0.19272156538282129,0.26134882921369396
0,SN0172-05,0.3135675456455775,0.07583047534334354
0,SN0180-06,0.9419973384312222,0.6889902689534041
0,SN0180-08,0.8070516264506749,0.3104245930804696
0,SN0103-01,0.04893494881221226,0.001232346350357003
0,SN0177-08,0.39282836781910485,0.4010240433297549
0,SN0103-09,0.056887656320844374,0.002518189179067706
0,SN0150-01,1.1893339471817017,0.6696222084960917
0,SN0150-08,2.176553111607688,0.3222665139396027
0,SN0084i-01,0.045369226319449334,0.029126270064820124
0,SN0084i-05,0.026010957254682245,0.007224117014170422
0,SN0103-05,0.05565833222525461,0.014465668364075026
0,SN0180-01,0.13338164863586424,0.03427396839493063
0,SN0162-01,0.3108815815789359,0.32017152298930324
0,SN0172-09,0.042282928412301204,0.09101579439369645
0,SN0172-07,0.0480381395612444,0.008790513103840136
0,SN0180-03,0.14208427391052245,0.009466366267682503
0,SN0180-04,0.6359674782344272,0.19911865905535714
0,SN0162-05,0.1822905278614589,0.07970304666582713
0,SN0122-07,1.133750185939244,0.5525194071932142
0,SN0122-09,0.1991337749344962,0.1001205308022667
0,SN0122-02,0.3106116292817252,0.39448932880848936
0,SN0122-04,0.41344982667650493,0.49216621725683696
